Location	Bait	Start	End	Transition	Weather	Predator, Amount	Tug	Hookset	Gathering	Snagging?	Fish Eyes?	ID	Note
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Rainbow Trout	Snurble Fly						Medium	Powerful				28	
River Crab	Butterworm						Light	Precision				29	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Bluebell Salmon	Floating Minnow						Medium	Powerful				42	
Eunuch Crayfish	Ala Mhigan Fighting Fish						Light	Precision				47	
Moldva	Ala Mhigan Fighting Fish	18	2				Heavy	Powerful				206	
Sanctum of the Twelve												20405	
Bone Crayfish	Moth Pupa						Light	Precision				9	
River Crab	Butterworm						Light	Precision				29	
Acorn Snail	Midge Basket						Light	Precision				34	
Moat Carp	Crow Fly						Light	Precision				39	
Tri-colored Carp	Butterworm						Medium	Powerful				46	
Pond Mussel	Butterworm						Light	Precision				50	
Dark Bass	Crow Fly						Medium	Powerful				56	
The Assassin	Butterworm	21	23				Heavy	Powerful				243	
Verdant Drop												20402	
Rainbow Trout	Crow Fly						Medium	Powerful				28	
River Crab	Butterworm						Light	Precision				29	
Copperfish	Butterworm						Light	Precision				41	
Black Eel	Butterworm	17	10				Medium	Powerful				55	
Climbing Perch	Bass Ball						Light	Precision				63	
Yugr'am Salmon	Bass Ball						Medium	Powerful				71	
Spotted Pleco	Syrphid Basket						Medium	Powerful				73	
Fall Jumper	Copperfish						Medium	Powerful				114	
Sylphsbane	Copperfish				Rain		Heavy	Powerful				248	
Sylphlands												20404	
Giant Bass	Honey Worm						Medium	Powerful				95	
Velodyna Carp	Streamer						Medium	Powerful				98	
Oakroot	Streamer	17	10				Medium	Powerful				118	
Common Sculpin	Spinnerbait						Light	Precision				119	
Southern Pike	Topwater Frog						Medium	Powerful				121	
Mushroom Crab	Common Sculpin				Clouds, Fog		Medium	Powerful				173	
Magicked Mushroom	Common Sculpin			Rain, Thunder	Clouds, Fog		Heavy	Powerful				309	
Upper Hathoeva River												20501	
Rainbow Trout	Bloodworm						Medium	Powerful				28	
River Crab	Butterworm						Light	Precision				29	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Dark Sleeper	Midge Basket	15	10				Light	Precision				36	
Eunuch Crayfish	Ala Mhigan Fighting Fish						Light	Precision				47	
Black Eel	Butterworm	17	10				Medium	Powerful				55	
Velodyna Carp	Streamer						Medium	Powerful				98	
Vip Viper	Butterworm	18	19				Heavy	Powerful				244	
Lower Hathoeva River												20503	
Copperfish	Butterworm						Light	Precision				41	
Rainbow Trout	Bloodworm						Medium	Powerful				28	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Mudcrab	Honey Worm						Light	Precision				44	
Eunuch Crayfish	Ala Mhigan Fighting Fish						Light	Precision				47	
Black Eel	Butterworm	17	10				Medium	Powerful				55	
Climbing Perch	Bass Ball						Light	Precision				63	
Yugr'am Salmon	Bass Ball						Medium	Powerful				71	
Velodyna Carp	Sinking Minnow						Medium	Powerful				98	
Floating Boulder	Bass Ball	0	8		Clouds, Fog		Heavy	Powerful				249	
East Hathoeva River												20504	
Rainbow Trout	Bloodworm						Medium	Powerful				28	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Dark Sleeper	Midge Basket	15	10				Light	Precision				36	
Copperfish	Butterworm						Light	Precision				41	
Mudcrab	Honey Worm						Light	Precision				44	
Eunuch Crayfish	Copperfish						Light	Precision				47	
Black Eel	Butterworm	17	10				Medium	Powerful				55	
Velodyna Carp	Streamer						Medium	Powerful				98	
The Grinner	Syrphid Basket						Heavy	Powerful				250	
Middle Hathoeva River												20502	
Rainbow Trout	Bloodworm						Medium	Powerful				28	
Dark Sleeper	Midge Basket	15	10				Light	Precision				36	
Five-ilm Pleco	Floating Minnow						Light	Precision				60	
Yugr'am Salmon	Bass Ball						Medium	Powerful				71	
Mitten Crab	Honey Worm						Light	Precision				84	
Seema	Wildfowl Fly						Medium	Powerful				87	
Armored Pleco	Honey Worm						Medium	Powerful				94	
Velodyna Carp	Streamer						Medium	Powerful				98	
The Sinker	Sinking Minnow	21	3		Clear Skies, Fair Skies		Heavy	Powerful				257	
Goblinblood												20505	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Mudcrab	Honey Worm						Light	Precision				44	
Dark Bass	Crow Fly						Medium	Powerful				56	
Five-ilm Pleco	Bass Ball						Light	Precision				60	
Black Ghost	Ala Mhigan Fighting Fish						Medium	Powerful				66	
Yugr'am Salmon	Bass Ball						Medium	Powerful				71	
Bonytongue	Streamer						Medium	Powerful				82	
Silverfish	Honey Worm						Light	Precision				90	
Goblin Perch	Silverfish						Medium	Powerful				127	
The Gobfather	Silverfish				Thunder, Thunderstorms		Heavy	Powerful				258	
Rootslake												20506	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Climbing Perch	Bass Ball						Light	Precision				63	
Root Skipper	Syrphid Basket						Light	Precision				80	
Mitten Crab	Honey Worm						Light	Precision				84	
Armored Pleco	Honey Worm						Medium	Powerful				94	
Judgment Staff	Caddisfly Larva				Thunder, Thunderstorms		Medium	Powerful				174	
Son of Levin	Caddisfly Larva				Thunderstorms		Heavy	Powerful				272	
Urth's Gift												20507	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Monke Onke	Ala Mhigan Fighting Fish						Light	Precision				86	
Bonytongue	Streamer						Medium	Powerful				82	
Mitten Crab	Honey Worm						Light	Precision				84	
Velodyna Carp	Streamer						Medium	Powerful				98	
Southern Pike	Topwater Frog						Medium	Powerful				121	
Boxing Pleco	Glowworm						Medium	Powerful				141	
Takitaro	Streamer						Medium	Powerful				181	
Giant Takitaro	Glowworm				Thunder, Thunderstorms		Heavy	Powerful				310	
Namitaro	Topwater Frog					Giant Takitaro, 1	Heavy	Powerful				311	
Murmur Rills												20601	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Rainbow Trout	Bloodworm						Medium	Powerful				28	
River Crab	Butterworm						Light	Precision				29	
Bluebell Salmon	Floating Minnow						Medium	Powerful				42	
Tri-colored Carp	Butterworm						Medium	Powerful				46	
Blue Widow	Floating Minnow	9	14				Heavy	Powerful				222	
Fallgourd Float												20602	
Striped Goby	Moth Pupa						Light	Precision				6	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Rainbow Trout	Wildfowl Fly						Medium	Powerful				28	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Dark Sleeper	Midge Basket	15	10				Light	Precision				36	
Shadow Catfish	Striped Goby						Medium	Powerful				64	
Judgeray	Wildfowl Fly	17	21				Heavy	Powerful				218	
Proud Creek												20603	
Pond Mussel	Butterworm						Light	Precision				50	
Mitten Crab	Honey Worm						Light	Precision				84	
Seema	Wildfowl Fly						Medium	Powerful				87	
Golden Loach	Honey Worm						Light	Precision				101	
Loyal Pleco	Stem Borer						Medium	Powerful				112	
Oakroot	Streamer	17	10				Medium	Powerful				118	
Southern Pike	Topwater Frog						Medium	Powerful				121	
Pirarucu	Streamer						Medium	Powerful				182	
Shadowstreak	Topwater Frog	4	10		Fog		Heavy	Powerful				283	
Lake Tahtotl												20604	
Mudcrab	Honey Worm						Light	Precision				44	
Pond Mussel	Butterworm						Light	Precision				50	
Bonytongue	Streamer						Medium	Powerful				82	
Silverfish	Honey Worm						Light	Precision				90	
Assassin Betta	Silverfish						Medium	Powerful				130	
Boxing Pleco	Glowworm						Medium	Powerful				141	
Goldfish	Silverfish						Light	Precision				146	
Bowfin	Goldfish						Medium	Powerful				177	
Cornelia	Rainbow Spoon Lure					Boxing Pleco, 5	Heavy	Powerful				296	
The Lavender Beds												20701	
Pipira	Crayfish Ball						Light	Precision				16	
Dark Sleeper	Midge Basket	15	10				Light	Precision				36	
Ala Mhigan Fighting Fish	Midge Basket						Light	Precision				31	
Tri-colored Carp	Butterworm						Medium	Powerful				46	
Shadow Catfish	Ala Mhigan Fighting Fish						Medium	Powerful				64	
Spotted Pleco	Syrphid Basket						Medium	Powerful				73	
Bonytongue	Streamer						Medium	Powerful				82	
Monke Onke	Ala Mhigan Fighting Fish						Light	Precision				86	
Sweetnewt	Ala Mhigan Fighting Fish	23	4		Fog		Heavy	Powerful				259	
Nophica's Wells												30104	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Gudgeon	Crayfish Ball						Light	Precision				19	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Copperfish	Butterworm						Light	Precision				41	
Eunuch Crayfish	Copperfish						Light	Precision				47	
Glimmerscale	Butterworm				Clear Skies, Fair Skies		Heavy	Precision				237	
The Footfalls												30105	
Crayfish	Moth Pupa						Light	Precision				2	
Mudskipper	Midge Basket						Light	Precision				27	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Mudcrab	Honey Worm						Light	Precision				44	
Acorn Snail	Midge Basket						Light	Precision				34	
Copperfish	Butterworm						Light	Precision				41	
Eunuch Crayfish	Copperfish						Light	Precision				47	
Mud Golem	Butterworm	21	3				Heavy	Powerful				229	
Vesper Bay												30102	
Merlthor Goby	Lugworm						Light	Precision				4	
Lominsan Anchovy	Lugworm						Light	Precision				5	
Harbor Herring	Pill Bug						Medium	Powerful				15	
Pebble Crab	Yumizuno						Light	Precision				26	
Tiger Cod	Rat Tail						Medium	Powerful				30	
Rothlyt Oyster	Rat Tail						Light	Precision				35	
Blue Octopus	Merlthor Goby						Medium	Powerful				45	
Rivet Oyster	Heavy Steel Jig						Heavy	Powerful				234	
Crescent Cove												30103	
Lominsan Anchovy	Lugworm						Light	Precision				5	
Razor Clam	Rat Tail						Light	Precision				43	
Blowfish	Northern Krill						Medium	Powerful				49	
Saber Sardine	Heavy Steel Jig						Medium	Powerful				54	
Monkfish	Heavy Steel Jig						Medium	Powerful				61	
Spotted Puffer	Honey Worm						Light	Precision				99	
Rock Lobster	Northern Krill	17	22				Medium	Powerful				149	
Fingers	Northern Krill	17	18				Heavy	Powerful				242	
The Silver Bazaar												30101	
Lominsan Anchovy	Lugworm						Light	Precision				5	
Pebble Crab	Yumizuno						Light	Precision				26	
Tiger Cod	Rat Tail						Medium	Powerful				30	
Rothlyt Oyster	Rat Tail						Light	Precision				35	
Hammerhead Shark	Steel Jig						Medium	Powerful				70	
Indigo Herring	Spoon Worm						Medium	Powerful				75	
Haraldr Haddock	Heavy Steel Jig						Medium	Powerful				85	
Rock Lobster	Northern Krill	17	22				Medium	Powerful				149	
Dirty Herry	Northern Krill	20	22				Heavy	Powerful				246	
Cape Westwind												30106	
Merlthor Goby	Lugworm						Light	Precision				4	
Haraldr Haddock	Heavy Steel Jig						Medium	Powerful				85	
Whitelip Oyster	Herring Ball						Light	Precision				88	
Silver Shark	Merlthor Goby						Medium	Powerful				111	
Wahoo	Merlthor Goby						Medium	Powerful				116	
Blacklip Oyster	Krill Cage Feeder						Light	Precision				120	
Plaice	Yumizuno						Medium	Powerful				138	
Sea Devil	Yumizuno						Medium	Powerful				143	
Titanic Sawfish	Wahoo	9	15		Clear Skies, Fair Skies		Heavy	Powerful				180	
Pirate's Bane	Wahoo					Wahoo, 6	Heavy	Powerful				300	
Moondrip												30108	
Blindfish	Syrphid Basket						Light	Precision				25	
Grip Killifish	Chocobo Fly						Light	Precision				78	
Silverfish	Honey Worm						Light	Precision				90	
Assassin Betta	Silverfish						Medium	Powerful				130	
Garpike	Silverfish				Fog		Medium	Powerful				136	
Ndendecki	Assassin Betta	18	5		Fog		Heavy	Powerful				301	
Parata's Peace												30107	
Grip Killifish	Chocobo Fly						Light	Precision				78	
Silverfish	Honey Worm						Light	Precision				90	
Ignus Snail	Stem Borer						Light	Precision				109	
Sludgeskipper	Stem Borer						Light	Precision				131	
Boltfish	Silverfish						Medium	Powerful				135	
Ilsabardian Bass	Topwater Frog						Medium	Powerful				139	
Vampire Lampern	Silverfish						Medium	Powerful				150	
Bat-o'-Nine-Tails	Silverfish			Rain	Clear Skies, Clouds, Fog, Fair Skies		Heavy	Powerful				302	
Upper Soot Creek												30201	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Dark Bass	Crow Fly						Medium	Powerful				56	
Dream Goby	Crayfish Ball	17	3				Heavy	Precision				215	
Lower Soot Creek												30202	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Dark Bass	Crow Fly						Medium	Powerful				56	
Aegis Shrimp	Bass Ball						Light	Precision				59	
Slime King	Crayfish Ball	19	24				Heavy	Precision				221	
The Clutch												30204	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Dark Bass	Crow Fly						Medium	Powerful				56	
Old Softie	Bloodworm	17	21				Heavy	Precision				226	
The Unholy Heir												30203	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Mudskipper	Midge Basket						Light	Precision				27	
Mudcrab	Honey Worm						Light	Precision				44	
Acorn Snail	Midge Basket						Light	Precision				34	
Dark Bass	Crow Fly						Medium	Powerful				56	
Aegis Shrimp	Bass Ball						Light	Precision				59	
Dark Knight	Crow Fly				Clouds, Dust Storms, Fog		Heavy	Powerful				212	
North Drybone												30301	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Mudskipper	Midge Basket						Light	Precision				27	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Acorn Snail	Midge Basket						Light	Precision				34	
Mudcrab	Honey Worm						Light	Precision				44	
Bone Cleaner	Syrphid Basket						Light	Precision				79	
Marrow Sucker	Syrphid Basket	20	3		Rain, Showers		Heavy	Powerful				227	
South Drybone												30302	
Dusk Goby	Crayfish Ball						Light	Precision				13	
Mudskipper	Midge Basket						Light	Precision				27	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Acorn Snail	Midge Basket						Light	Precision				34	
Mudcrab	Honey Worm						Light	Precision				44	
Bone Cleaner	Syrphid Basket						Light	Precision				79	
Mud Pilgrim	Midge Basket	17	7		Rain, Showers		Heavy	Powerful				225	
Yugr'am River												30303	
Warmwater Trout	Crow Fly						Medium	Powerful				51	
Black Eel	Butterworm	17	10				Medium	Powerful				55	
Dark Bass	Crow Fly						Medium	Powerful				56	
Yugr'am Salmon	Bass Ball						Medium	Powerful				71	
Mitten Crab	Honey Worm						Light	Precision				84	
Trader Eel	Honey Worm	17	10				Medium	Powerful				103	
The Warden's Wand	Honey Worm	17	20		Clear Skies		Heavy	Powerful				254	
The Burning Wall												30304	
Yugr'am Salmon	Bass Ball						Medium	Powerful				71	
Bonytongue	Streamer						Medium	Powerful				82	
Discus	Honey Worm						Medium	Powerful				105	
Ignus Snail	Stem Borer						Light	Precision				109	
Loyal Pleco	Stem Borer						Medium	Powerful				112	
Knifefish	Glowworm						Medium	Powerful				115	
Southern Pike	Topwater Frog						Medium	Powerful				121	
Gigantpole	Topwater Frog						Heavy	Powerful				186	
Sundisc	Caddisfly Larva	10	15		Clear Skies, Fair Skies		Medium	Powerful				158	
The Thousand-year Itch	Stem Borer				Fog		Heavy	Powerful				278	
Burnt Lizard Creek												30401	
Copperfish	Butterworm						Light	Precision				41	
Warmwater Trout	Crow Fly						Medium	Powerful				51	
Dark Bass	Crow Fly						Medium	Powerful				56	
Lamprey	Copperfish						Light	Precision				68	
Plaguefish	Chocobo Fly						Light	Precision				69	
Old Hollow Eyes	Copperfish				Fog		Heavy	Powerful				247	
Zahar'ak												30402	
Moat Carp	Crow Fly						Light	Precision				39	
Mudcrab	Honey Worm						Light	Precision				44	
Plaguefish	Bass Ball						Light	Precision				69	
Clown Loach	Honey Worm						Light	Precision				91	
Discus	Honey Worm						Medium	Powerful				105	
Ignus Snail	Stem Borer						Light	Precision				109	
Paglth'an Discus	Glowworm				Clear Skies, Fair Skies, Heat Waves		Medium	Powerful				140	
Discobolus	Glowworm	12	18		Heat Waves		Heavy	Powerful				264	
Forgotten Springs												30403	
Copperfish	Butterworm						Light	Precision				41	
Warmwater Trout	Crow Fly						Medium	Powerful				51	
Lamprey	Copperfish						Light	Precision				68	
Plaguefish	Chocobo Fly						Light	Precision				69	
Ropefish	Silver Spoon Lure						Medium	Powerful				76	
Clown Loach	Honey Worm						Light	Precision				91	
Golden Loach	Honey Worm						Light	Precision				101	
Iron Noose	Spinner				Fog		Heavy	Powerful				265	
Sagolii Desert												30404	
Sandfish	Freshwater Boilie						Light	Precision				89	
Sand Bream	Rolling Stone						Medium	Powerful				92	
Dustfish	Freshwater Boilie						Medium	Powerful				100	
Storm Rider	Sand Leech						Medium	Powerful				102	
Antlion Slug	Sand Gecko						Medium	Powerful				106	
Dune Manta	Storm Rider						Medium	Powerful				110	
Sagolii Monkfish	Sandfish						Medium	Powerful				147	
Magic Carpet	Storm Rider	9	16		Heat Waves		Heavy	Powerful				267	
Helicoprion	Storm Rider	8	20	Fog, Clouds	Heat Waves		Heavy	Powerful				304	
Sagolii Dunes												30405	
Sand Bream	Saltwater Boilie						Medium	Powerful				92	
Desert Catfish	Rolling Stone						Medium	Powerful				96	
Dustfish	Saltwater Boilie						Medium	Powerful				100	
Storm Rider	Sand Leech						Medium	Powerful				102	
Antlion Slug	Sand Gecko						Medium	Powerful				106	
Dune Manta	Storm Rider						Medium	Powerful				110	
Caravan Eel	Storm Rider						Heavy	Powerful				164	
Olgoi-Khorkhoi	Storm Rider				Heat Waves		Heavy	Powerful				266	
Bluefog												30502	
Bone Crayfish	Moth Pupa						Light	Precision				9	
Silverfish	Honey Worm						Light	Precision				90	
Giant Bass	Honey Worm						Medium	Powerful				95	
Golden Loach	Honey Worm						Light	Precision				101	
Ignus Snail	Stem Borer						Light	Precision				109	
Knifefish	Glowworm						Medium	Powerful				115	
Common Sculpin	Spinnerbait						Light	Precision				119	
Garpike	Silverfish						Medium	Powerful				136	
Alligator Garfish	Common Sculpin						Heavy	Powerful				161	
Hannibal	Common Sculpin	22	4		Fog		Heavy	Powerful				279	
Ceruleum Field												30501	
Grip Killifish	Chocobo Fly						Light	Precision				78	
Silverfish	Honey Worm						Light	Precision				90	
Ignus Snail	Stem Borer						Light	Precision				109	
Sludgeskipper	Stem Borer						Light	Precision				131	
Boltfish	Silverfish						Medium	Powerful				135	
Ilsabardian Bass	Topwater Frog						Medium	Powerful				139	
Goldfish	Silverfish						Light	Precision				146	
Wootz Knifefish	Goldfish						Medium	Powerful				162	
Wootz Knifefish Zenith	Silverfish	1	4	Clear Skies, Fair Skies	Fog		Heavy	Powerful				303	
The Goblet												30601	
Brass Loach	Wildfowl Fly						Medium	Powerful				21	
Faerie Bass	Midge Basket						Medium	Powerful				33	
Copperfish	Butterworm						Light	Precision				41	
Eunuch Crayfish	Copperfish						Light	Precision				47	
Dark Bass	Crow Fly						Medium	Powerful				56	
Lamprey	Copperfish						Light	Precision				68	
Silverfish	Honey Worm						Light	Precision				90	
Goldfish	Silverfish						Light	Precision				146	
Spearnose	Caddisfly Larva	21	24		Clouds, Fog		Heavy	Precision				255	
Coerthas River												40101	
Striped Goby	Moth Pupa						Light	Precision				6	
Maiden Carp	Wildfowl Fly						Medium	Powerful				23	
Rainbow Trout	Midge Basket						Medium	Powerful				28	
Seema	Wildfowl Fly						Medium	Powerful				87	
Giant Bass	Honey Worm						Medium	Powerful				95	
Crimson Trout	Spinner						Medium	Powerful				104	
Kissing Trout	Striped Goby						Medium	Powerful				144	
Daniffen's Mark	Wildfowl Fly				Blizzards		Heavy	Powerful				268	
Daniffen Pass												40106	
Striped Goby	Moth Pupa						Light	Precision				6	
Blindfish	Syrphid Basket						Light	Precision				25	
Lamp Marimo	Chocobo Fly						Light	Precision				74	
Abalathian Smelt	Glowworm						Light	Precision				24	
Golden Loach	Topwater Frog						Light	Precision				101	
Cave Cherax	Striped Goby						Medium	Powerful				153	
Charon's Lantern	Glowworm	22	4				Heavy	Precision				269	
The Nail												40103	
Striped Goby	Moth Pupa						Light	Precision				6	
Abalathian Smelt	Syrphid Basket						Light	Precision				24	
Giant Bass	Honey Worm						Medium	Powerful				95	
Crimson Trout	Wildfowl Fly						Medium	Powerful				104	
Bronze Lake Trout	Spinnerbait						Medium	Powerful				108	
Northern Pike	Topwater Frog						Medium	Powerful				122	
Kissing Trout	Striped Goby						Medium	Powerful				144	
Emperor Fish	Striped Goby						Medium	Powerful				176	
Starbright	Abalathian Smelt	21	4		Clear Skies, Fair Skies		Heavy	Powerful				281	
Dragonhead Latrines												40105	
Striped Goby	Moth Pupa						Light	Precision				6	
Rainbow Trout	Crow Fly						Medium	Powerful				28	
Abalathian Smelt	Glowworm						Light	Precision				24	
Seema	Wildfowl Fly						Medium	Powerful				87	
Crimson Trout	Spinner						Medium	Powerful				104	
Kissing Trout	Striped Goby						Medium	Powerful				144	
Dawn Maiden	Wildfowl Fly	5	7		Clear Skies, Fair Skies		Heavy	Powerful				280	
Exploratory Ice Hole												40107	
Lamp Marimo	Chocobo Fly						Light	Precision				74	
Abalathian Smelt	Honey Worm						Light	Precision				24	
Northern Pike	Topwater Frog						Medium	Powerful				122	
Kissing Trout	Abalathian Smelt						Medium	Powerful				144	
The Matriarch	Abalathian Smelt						Heavy	Precision				282	
The Weeping Saint												40104	
Lamp Marimo	Chocobo Fly						Light	Precision				74	
Abalathian Smelt	Stonefly Nymph						Light	Precision				24	
Giant Bass	Honey Worm						Medium	Powerful				95	
Crimson Trout	Wildfowl Fly						Medium	Powerful				104	
Common Sculpin	Spinnerbait						Light	Precision				119	
Northern Pike	Topwater Frog						Medium	Powerful				122	
Angry Pike	Abalathian Smelt						Medium	Powerful				145	
Darkstar	Abalathian Smelt	19	4		Blizzards, Snow	Lamp Marimo, 5	Heavy	Powerful				305	
Snowcloak												40108	
Rainbow Trout	Crow Fly						Medium	Powerful				28	
Seema	Wildfowl Fly						Medium	Powerful				87	
Crimson Trout	Spinner						Medium	Powerful				104	
Wandering Sculpin	Caddisfly Larva						Medium	Powerful				151	
Blue Corpse	Caddisfly Larva			Blizzards, Snow	Clear Skies, Fair Skies		Heavy	Precision				306	
Sea of Clouds												40109	
Cloud Jellyfish	Balloon Bug						Light	Precision				126	
Skyfish	Balloon Bug						Light	Precision				132	
Cloud Cutter	Hoverworm						Medium	Powerful				134	
Blind Manta	Cloud Cutter						Medium	Powerful				137	
Rift Sailor	Balloon Bug						Light	Precision				142	
Anomalocaris	Cloud Cutter	10	15		Clear Skies, Fair Skies		Heavy	Powerful				285	
Witchdrop												40102	
Cloud Jellyfish	Balloon Bug						Light	Precision				126	
Skyfish	Balloon Bug						Light	Precision				132	
Cloud Cutter	Hoverworm						Medium	Powerful				134	
Blind Manta	Cloud Cutter						Medium	Powerful				137	
Rift Sailor	Balloon Bug						Light	Precision				142	
Saucerfish	Cloud Cutter						Light	Precision				148	
Rhamphorhynchus	Saucerfish						Heavy	Powerful				168	
Mahar	Cloud Cutter			Clear Skies, Fair Skies	Blizzards		Heavy	Powerful				307	
Shonisaurus	Mahar				Blizzards		Heavy	Powerful				308	
Riversmeet												40201	
Abalathian Smelt	Stonefly Nymph						Light	Precision				24	
Coerthan Crab	Metal Spinner						Light	Precision				318	
Coerthan Puffer	Purse Web Spider				Blizzards, Snow		Light	Precision				362	
Fat Purse	Brute Leech						Heavy	Precision				462	
Greytail Falls												40202	
Cloud Coral	Balloon Bug						Light	Precision				315	
Skyworm	Giant Crane Fly						Light	Precision				317	
Glacier Core	Red Balloon				Blizzards, Snow		Light	Precision				324	
Warballoon	Skyworm				Clear Skies, Fair Skies		Light	Precision				399	
Rime Eater	Glacier Core				Blizzards, Snow		Light	Precision				366	
Hailfinder	Glacier Core			Snow, Blizzards	Blizzards		Heavy	Precision				478	
Unfrozen Pond												40203	
Abalathian Smelt	Freshwater Boilie						Light	Precision				24	
Icepick	Goblin Jig						Light	Precision				314	
Ice Faerie	Metal Spinner						Light	Precision				316	
Sorcerer Fish	Abalathian Smelt	8	20				Medium	Powerful				326	
Albino Octopus	Ice Faerie	8	17				Medium	Powerful				396	
Coerthan Clione	Brute Leech	0	2		Blizzards		Light	Precision				439	
Flarefish	Ice Faerie	10	16		Blizzards		Heavy	Powerful				479	
Clearpool												40204	
Abalathian Smelt	Stonefly Nymph						Light	Precision				24	
Capelin	Brute Leech	0	6				Light	Precision				437	
Ice Faerie	Purse Web Spider						Light	Precision				316	
Coerthan Crab	Abalathian Smelt						Light	Precision				318	
Hotrod	Ice Faerie				Blizzards, Snow		Medium	Powerful				327	
Priestfish	Brute Leech						Medium	Powerful				456	
Ghost Faerie	Metal Spinner						Light	Precision				507	
Bishopfish	Brute Leech	10	14		Clear Skies		Heavy	Powerful				489	
Charibenet	Ice Faerie	0	3		Blizzards	Ice Faerie, 5	Heavy	Precision				504	
Dragonspit												40205	
Ogre Horn Snail	Stonefly Nymph						Light	Precision				325	
Cherry Trout	Bladed Steel Jig						Medium	Powerful				424	
Hospitalier Fish	Purse Web Spider						Light	Precision				409	
Spring Urchin	Brute Leech						Light	Precision		1		423	
Dragonspine	Signature Skyball						Light	Precision				3300	
The Impaler	Brute Leech						Heavy	Precision		1		463	
South Banepool												40206	
Abalathian Smelt	Freshwater Boilie						Light	Precision				24	
Icepick	Metal Spinner						Light	Precision				314	
Ice Faerie	Purse Web Spider						Light	Precision				316	
Lake Urchin	Brute Leech						Light	Precision		1		320	
Ammonite	Goblin Jig						Medium	Powerful				338	
Seema Patrician	Goblin Jig						Medium	Powerful				337	
Fanged Clam	Metal Spinner						Medium	Powerful				319	
Mountain Kraken	Brute Leech						Heavy	Powerful				459	
Magic Bucket	Brute Leech						Heavy	Powerful		1		461	
Captain Nemo	Brute Leech			Snow	Blizzards		Heavy	Powerful				490	
Ashpool												40207	
Abalathian Smelt	Syrphid Basket						Light	Precision				24	
Ice Faerie	Purse Web Spider						Light	Precision				316	
Fanged Clam	Goblin Jig						Medium	Powerful				319	
Lake Urchin	Brute Leech						Light	Precision		1		320	
Gigant Grouper	Goblin Jig						Medium	Powerful				348	
Battle Galley	Ice Faerie						Heavy	Powerful				417	
Northern Oyster	Metal Spinner						Light	Precision				835	
La Reale	Brute Leech						Heavy	Powerful				464	
West Banepool												40208	
Fanged Clam	Goblin Jig						Medium	Powerful				319	
Lake Urchin	Goblin Jig						Light	Precision		1		320	
Ice Faerie	Caddisfly Larva						Light	Precision				316	
Mercy Staff	Brute Leech				Blizzards, Snow		Medium	Powerful				365	
Snowcaller	Ice Faerie				Blizzards, Snow		Medium	Powerful				363	
Coerthan Oyster	Brute Leech						Light	Precision		1		457	
Warmscale Pleco	Metal Spinner						Medium	Powerful				776	
Merciless	Ice Faerie			Snow, Blizzards	Blizzards		Heavy	Powerful				488	
North Silvertear												50101	
Lamp Marimo	Chocobo Fly						Light	Precision				74	
Silverfish	Honey Worm						Light	Precision				90	
Ignus Snail	Stem Borer						Light	Precision				109	
Sludgeskipper	Stem Borer						Light	Precision				131	
Assassin Betta	Silverfish						Medium	Powerful				130	
Ilsabardian Bass	Glowworm						Medium	Powerful				139	
Goldfish	Silverfish						Light	Precision				146	
Heliobatis	Caddisfly Larva	17	9				Medium	Powerful				178	
